Production_Hours,Workforce_Size,Machine_Efficiency,Raw_Materials_Cost,Maintenance_Hours,Shift_Hours,Total_Production,Production Type,Production Line,Supplier,Date,Production_Volume_Per_Hour,Timestamp_Hour,Department,Equipment_Age_Category,Shift_Category,Project_Complexity,Quality_Risk_Level,Energy_Efficiency_Level,Production_Flexibility,Supply_Chain_Resilience
0.83,1.49,0.35,0.5,0.61,1.26,3.64, Precision Components,Line E,MegaManufacturing Resources,22/04/2023,3.18,14,Production,Medium,High,Moderate,Medium,Medium_Consumption,Flexible,Medium
1.82,2.25,1.23,1.61,1.73,0.95,6.33, Precision Components,Line E,TechCore Suppliers,18/08/2023,1.12,4,Production,New,High,Complex,High,High_Consumption,Flexible,High
0,0.16,-0.35,0.09,0.23,-0.16,1.91, Industrial Equipment,Line D,Apex Industrial Solutions,21/01/2023,3.84,10,Production,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.19,-0.41,0.01,0.37,-0.14,-0.7,0.99, Automotive Parts,Line B,TechCore Suppliers,25/05/2023,0.58,21,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.87,-0.36,0.28,-0.29,-0.47,-0.16,-2.4, Automotive Parts,Line B,Apex Industrial Solutions,26/05/2023,-29.1,17,Maintenance,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.46,-1.29,-2.12,-1.88,-2.68,-2.07,-8.46, Precision Components,Line E,TechCore Suppliers,12/11/2023,12.96,2,Quality_Control,Old,Low,Simple,Low,Low_Consumption,Rigid,Low
1.27,0.64,1.43,0.57,1.32,0.18,1.73, Automotive Parts,Line B,Advanced Materials Inc.,15/06/2023,0.84,5,Quality_Control,New,Medium,Moderate,High,High_Consumption,Moderate,Medium
0.15,0.59,0.97,-0.25,-0.06,0.13,1.59, Automotive Parts,Line B,NorthStar Manufacturing,20/05/2023,0.96,2,Quality_Control,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
1.52,1.53,1.46,1.91,2.03,1.06,8.61, Industrial Equipment,Line D,Apex Industrial Solutions,22/07/2023,1.71,4,Quality_Control,New,High,Complex,High,High_Consumption,Flexible,High
1.53,1.13,1.45,1.01,1.36,0.82,9.06, Consumer Goods,Line C,EuroTrade Supplies,01/09/2023,6.45,8,Logistics,New,High,Complex,High,High_Consumption,Flexible,High
0.45,0.41,-0.33,-0.19,0.13,-0.11,-1.11, Electronics,Line A,MegaManufacturing Resources,23/04/2023,-0.92,18,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.04,-0.47,0.33,-0.13,-0.03,0.86,-1.73, Consumer Goods,Line C,Industrial Innovations LLC,20/07/2023,-2.49,12,Maintenance,Medium,High,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.76,0.6,0.69,0.74,0.37,0.77,1.64, Automotive Parts,Line B,Apex Industrial Solutions,10/11/2023,1.02,5,Quality_Control,New,High,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.82,-0.43,0.48,1.02,0.75,0.32,0.07, Precision Components,Line E,Precision Parts Supply,16/09/2023,0.08,10,Production,New,Medium,Complex,Medium,Medium_Consumption,Moderate,High
-1.81,-1.45,-1.09,-1.66,-2.33,-0.86,-5.12, Electronics,Line A,NorthStar Manufacturing,12/09/2023,5.08,20,Logistics,Old,Medium,Simple,Low,Low_Consumption,Rigid,Low
0.06,-0.04,-0.41,-0.13,0.79,0.45,3.35, Electronics,Line A,Advanced Materials Inc.,23/01/2023,2.52,20,Maintenance,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.22,0.61,0.91,1.19,0.5,0.59,3.54, Precision Components,Line E,GlobalTech Components,03/09/2023,6.37,13,Maintenance,New,Medium,Complex,Medium,Medium_Consumption,Moderate,High
-0.7,-0.06,0.2,0.2,0.28,-0.38,1.8, Electronics,Line A,Advanced Materials Inc.,05/12/2023,6.52,5,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.14,1.05,0.63,1.38,1.23,0.71,4.22, Precision Components,Line E,TechCore Suppliers,07/11/2023,5.42,5,Production,New,Medium,Complex,Medium,High_Consumption,Flexible,High
0.7,0.26,0.6,0.4,0.89,0.8,2.84, Electronics,Line A,MegaManufacturing Resources,14/11/2023,3.01,16,Production,New,High,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.03,-0.59,-0.31,-0.03,-0.23,-0.32,-1.83, Consumer Goods,Line C,NorthStar Manufacturing,28/03/2023,-3.78,10,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.89,-0.52,-0.77,-0.02,-0.03,-0.59,-2.9, Electronics,Line A,Precision Parts Supply,07/08/2023,-42.65,14,Logistics,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
1.31,0.14,0.44,0.73,0.88,0.22,0.28, Industrial Equipment,Line D,Apex Industrial Solutions,22/12/2023,0.22,8,Production,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.33,-0.85,0.23,-0.45,0.17,-0.23,-0.7, Precision Components,Line E,Advanced Materials Inc.,27/01/2023,-0.83,20,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.81,0.52,0.55,0.28,0.54,0.96,2.96, Electronics,Line A,NorthStar Manufacturing,17/10/2023,2.94,16,Maintenance,New,High,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.44,-0.59,-1.08,-0.49,0.04,-1.14,-2.58, Precision Components,Line E,Apex Industrial Solutions,16/10/2023,2.94,23,Maintenance,Old,Low,Moderate,Low,Medium_Consumption,Moderate,Medium
-0.54,-0.74,-0.32,-0.57,-0.5,-0.56,-2.48, Industrial Equipment,Line D,MegaManufacturing Resources,14/12/2023,-8.14,6,Maintenance,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.95,-1.12,-0.97,-1.16,-0.99,-1.33,-5.67, Electronics,Line A,Industrial Innovations LLC,11/08/2023,-172.36,6,Logistics,Old,Low,Simple,Medium,Low_Consumption,Rigid,Low
-0.96,0.21,-0.45,-0.47,-0.45,-0.09,-3.39, Electronics,Line A,GlobalTech Components,18/12/2023,-75.5,20,Quality_Control,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.63,-1.6,-1.81,-1.1,-0.5,-1.08,-5.41, Industrial Equipment,Line D,MegaManufacturing Resources,27/06/2023,-17.54,0,Quality_Control,Old,Low,Simple,Low,Medium_Consumption,Rigid,Low
0.48,0.43,0.33,-0.78,-0.18,-0.35,1.24, Industrial Equipment,Line D,TechCore Suppliers,28/05/2023,1.42,7,Production,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.07,0.27,-0.76,-0.51,-0.34,-0.03,-3.14, Industrial Equipment,Line D,Quantum Resource Group,15/08/2023,-1.47,4,Logistics,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.09,0.03,-0.58,-0.92,-0.86,-1.27,-2.78, Precision Components,Line E,Industrial Innovations LLC,17/12/2023,-3.07,18,Quality_Control,Old,Low,Moderate,Medium,Low_Consumption,Moderate,Medium
-0.96,-1.1,-0.65,-0.71,-0.74,-0.48,-3.38, Industrial Equipment,Line D,TechCore Suppliers,05/07/2023,-159.71,7,Logistics,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.86,-1.4,-0.99,-0.84,-0.81,-0.9,-6.05, Precision Components,Line E,Advanced Materials Inc.,21/10/2023,-79.14,16,Quality_Control,Old,Medium,Moderate,Medium,Medium_Consumption,Rigid,Medium
-1.4,-0.56,-0.68,-0.17,-0.97,-0.48,-4.54, Consumer Goods,Line C,Industrial Innovations LLC,10/02/2023,13.58,18,Maintenance,Old,Medium,Moderate,Medium,Low_Consumption,Moderate,Medium
0.31,0.84,0.06,0.66,0.93,1.53,3.98, Electronics,Line A,TechCore Suppliers,10/07/2023,5.75,11,Maintenance,Medium,High,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.07,-0.42,0.43,0.15,-0.28,-0.41,-3.32, Electronics,Line A,Industrial Innovations LLC,20/03/2023,26.62,22,Production,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.36,-0.31,-0.59,-0.45,-1.08,0.11,-1.55, Automotive Parts,Line B,MegaManufacturing Resources,24/07/2023,-3.85,14,Maintenance,Old,Medium,Moderate,Medium,Low_Consumption,Moderate,Medium
-1.41,-1.72,-1.82,-1.29,-1.54,-1.13,-8.92, Consumer Goods,Line C,NorthStar Manufacturing,05/10/2023,12.96,3,Quality_Control,Old,Low,Simple,Low,Low_Consumption,Rigid,Low
2.16,1.83,1.56,1.21,1.76,0.96,9.67, Industrial Equipment,Line D,GlobalTech Components,29/09/2023,1.83,22,Production,New,High,Complex,High,High_Consumption,Flexible,High
-0.24,-1.27,-1.1,-0.46,-0.92,-0.6,0.42, Industrial Equipment,Line D,GlobalTech Components,01/02/2023,1.04,11,Production,Old,Medium,Moderate,Low,Low_Consumption,Rigid,Medium
-0.09,-0.24,-0.12,0.71,1.13,0.03,-0.38, Consumer Goods,Line C,TechCore Suppliers,22/05/2023,-0.63,12,Maintenance,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.1,0.82,0.64,0.08,0.21,-0.36,1.98, Industrial Equipment,Line D,TechCore Suppliers,08/09/2023,3.09,13,Logistics,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-2.32,-2.37,-2.36,-2.53,-2.45,-2.36,-13.14, Automotive Parts,Line B,Industrial Innovations LLC,21/10/2023,4.96,4,Maintenance,Old,Low,Simple,Low,Low_Consumption,Rigid,Low
0.47,0.23,0.51,0.7,0.79,0.5,4.5, Precision Components,Line E,Advanced Materials Inc.,08/04/2023,2.14,21,Maintenance,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.94,0.93,-0.45,-0.69,0.12,0.64,-1.09, Electronics,Line A,TechCore Suppliers,16/05/2023,-0.95,15,Production,Old,Medium,Moderate,Medium,Medium_Consumption,Flexible,Medium
0.62,-0.16,-0.22,0.82,0.41,0.45,2.44, Consumer Goods,Line C,Industrial Innovations LLC,04/10/2023,2.26,6,Maintenance,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.34,-0.93,-0.59,-0.79,-1.14,-1.43,-5.87, Electronics,Line A,EuroTrade Supplies,08/11/2023,-14.15,14,Quality_Control,Old,Low,Moderate,Medium,Low_Consumption,Moderate,Medium
1.44,1.16,1.19,1.09,0.79,1.17,5.27, Precision Components,Line E,GlobalTech Components,29/10/2023,3.24,12,Production,New,High,Complex,High,Medium_Consumption,Flexible,High
0.76,0.76,0.01,0.04,0.06,0.41,-0.18, Consumer Goods,Line C,TechCore Suppliers,12/02/2023,-0.18,15,Maintenance,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.81,-0.67,-0.12,0.17,-0.15,-0.28,-0.03, Precision Components,Line E,MegaManufacturing Resources,30/04/2023,-0.31,11,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.38,0.35,-0.15,1.3,0.99,1.05,1.73, Industrial Equipment,Line D,Precision Parts Supply,08/08/2023,1.88,6,Quality_Control,Medium,High,Complex,Medium,Medium_Consumption,Moderate,High
2.44,2.25,1.94,2.02,1.63,1.38,10.55, Industrial Equipment,Line D,Industrial Innovations LLC,15/02/2023,5.22,15,Logistics,New,High,Complex,High,High_Consumption,Flexible,High
0.35,0.32,0.01,-0.01,-0.13,-0.32,-0.46, Industrial Equipment,Line D,GlobalTech Components,24/08/2023,-0.2,22,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.74,-0.48,-0.77,-0.28,0.12,0.42,-1.62, Precision Components,Line E,TechCore Suppliers,17/02/2023,-3.77,22,Logistics,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.33,-0.14,0,-0.36,0.07,0,0.19, Precision Components,Line E,NorthStar Manufacturing,17/07/2023,0.22,12,Maintenance,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.2,-0.62,-0.16,0.03,-0.29,-0.08,-3.24, Precision Components,Line E,Industrial Innovations LLC,25/03/2023,9.88,22,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.6,-1.78,-2.01,-1.73,-1.56,-1.6,-7.28, Electronics,Line A,Advanced Materials Inc.,31/01/2023,-12.82,2,Production,Old,Low,Simple,Low,Low_Consumption,Rigid,Low
-0.59,-0.8,-0.32,-0.69,0.03,-0.53,0.35, Precision Components,Line E,TechCore Suppliers,10/06/2023,1.37,14,Production,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.41,0.68,0.17,1.71,0.93,1.24,2.84, Industrial Equipment,Line D,Industrial Innovations LLC,12/03/2023,1.42,2,Logistics,Medium,High,Complex,Medium,Medium_Consumption,Moderate,High
-0.36,-0.26,-0.89,-0.42,-0.38,-0.45,-0.19, Automotive Parts,Line B,TechCore Suppliers,08/01/2023,-0.45,6,Logistics,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-2.42,-2.65,-2.04,-1.95,-2.72,-2.55,-9.09, Precision Components,Line E,Quantum Resource Group,21/02/2023,10.24,17,Logistics,Old,Low,Simple,Low,Low_Consumption,Rigid,Low
1.13,0.81,0.91,0.62,-0.11,0.17,1.44, Automotive Parts,Line B,Precision Parts Supply,14/02/2023,0.95,13,Quality_Control,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.89,-1.06,-0.81,-0.35,-0.3,-0.08,-5.45, Industrial Equipment,Line D,Apex Industrial Solutions,20/10/2023,-82.64,17,Production,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
